"Plant_ID" "Year" "Electricity_kWh" "S02_short_tons" "NOx_short_tons" "Capital_Stock_USD2017_millions" "Employees_People" "Heat_content_of_gas_Mwh_daily" "Heat_content_of_oil_Mwh_daily" "Heat_content_of_coal_Mwh_daily" "Clean_Air_Act_PhaseI"
"1" 3 90 8793.00954545455 57918.3827272727 26861.2245454545 2083.74667847017 418.636363636364 0.475109028752035 0.0340973053463847 68.1953810088855 0.545454545454545
"2" 8 90 7562.19781818182 92570.8354545454 24279.0163636364 1952.13490401068 488.545454545455 0 0.113951756292207 60.0177716258222 0.545454545454545
"3" 470 90 3542.82718181818 11836.8136363636 16432.0590909091 1020.27327619663 114.272727272727 0.029015320727082 0.0365185527937806 29.5821541264753 0.545454545454545
"4" 602 90 5419.40281818182 28568.4445454545 16471.9763636364 1919.84186884599 148.818181818182 0 0.242504614243277 43.3074893758132 0.545454545454545
"5" 641 90 4526.78481818182 96955.2654545455 19840.5054545455 1553.5311447426 239.545454545455 0.601598989304807 0.0379053449423426 38.1334353324625 0.545454545454545
"6" 708 90 3616.44927272727 47303.6309090909 15903.8872727273 1088.96608102881 278.454545454545 0 0.0608730960444441 30.5043716132001 0.545454545454545
"7" 709 90 9254.87845454545 89571.9145454546 40325.3454545455 1731.0959542779 431.272727272727 0 0.0476966151697563 72.8300470992761 0.545454545454545
"8" 728 90 4879.30272727273 80824.9272727273 15719.2363636364 1651.0512824854 414.090909090909 0 0.081168678176665 40.7050994602596 0.545454545454545
"9" 856 90 3302.79427272727 24428.16 13184.88 1069.56586347665 158.636363636364 0 0.0395852439728693 26.4873337349117 0.545454545454545
"10" 861 90 3506.57818181818 104971.216363636 29496.29 1275.47440563588 286.636363636364 0 0.0443137792438005 30.0186617416995 0.545454545454545
"11" 862 90 412.578771818182 11051.0427272727 2188.80545454545 512.528576237799 101.545454545455 0 0.0230945228690537 3.69735163503715 0.545454545454545
"12" 863 90 520.112236363636 12012.9990909091 2018.97 398.051918561567 89.9090909090909 0 0.0289254099121476 4.48970526428128 0.545454545454545
"13" 864 90 1118.29216363636 26515.74 3951.16090909091 783.195136960451 146.545454545455 0 0.184394853763281 9.37140046142151 0.545454545454545
"14" 876 90 3790.14272727273 130137.148181818 34230.2445454545 1558.41739079521 299.181818181818 0.0769467270802081 0 34.6305577698318 0.545454545454545
